Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
ALB,Williams,11.0,0.0,0.0,83.13,81.847,81.664,36.65003125,20.8983125,42.942392857,100.398928571,80.941,15.0,12.0,0.0,0.0,14,15,16,2.8629999999999995,2.117999999999995,2.611000000000004,8,11,9,100.490736607,4.395648344999998,11,8.162886904999993,0.0,0.0,240.0
ALO,Aston Martin,11.0,0.0,0.0,82.065,84.662,82.72,35.042333333,23.232611111,50.321933333,105.833357142,81.969,17.0,18.0,0.0,0.0,10,19,17,1.7980000000000018,4.933000000000007,3.6670000000000016,3,18,18,108.596877777,12.501789514999999,18,13.597315475999991,0.0,0.0,289.0
ANT,Mercedes,11.0,0.0,0.0,81.376,79.943,80.324,36.042935483,19.78816129,41.798555555,95.665076923,78.811,2.0,2.0,0.0,0.0,7,2,6,1.1090000000000089,0.21399999999999864,1.2710000000000008,5,1,4,97.62965232799999,1.5345640659999873,3,3.4290352569999953,0.0,0.0,12.0
BEA,Haas F1 Team,11.0,0.0,0.0,82.682,81.326,80.778,39.039838709,20.835774193,41.873785714,102.07275,80.311,12.0,7.0,0.0,0.0,13,11,9,2.4150000000000063,1.5969999999999942,1.7250000000000085,15,10,5,101.74939861600001,5.654310354000003,17,9.836708333999994,0.0,0.0,108.0
BOR,Audi,11.0,0.0,0.0,81.696,81.668,80.459,39.209964285,20.777285714,46.70892,99.549181818,80.221,10.0,9.0,0.0,0.0,8,14,8,1.429000000000002,1.9390000000000072,1.406000000000006,17,8,17,106.696169999,10.601081737000001,9,7.313140151999988,0.0,0.0,80.0
BOT,Cadillac,11.0,0.0,0.0,84.022,83.66,83.514,37.285821428,20.556821428,43.6046,101.50036,83.244,19.0,19.0,0.0,0.0,16,18,18,3.7550000000000097,3.9309999999999974,4.4609999999999985,12,7,12,101.447242856,5.352154593999998,15,9.264318333999995,0.0,0.0,342.0
COL,Alpine,11.0,0.0,0.0,83.325,82.619,81.413,38.297846153,22.258222222,45.171583333,101.418318181,81.27,16.0,14.0,0.0,0.0,15,17,15,3.058000000000007,2.8900000000000006,2.3599999999999994,13,16,14,105.727651708,9.632563445999992,14,9.182276514999998,0.0,0.0,240.0
GAS,Alpine,11.0,0.0,0.0,84.035,82.167,81.071,37.261133333,22.742125,41.458428571,99.050307692,80.501,14.0,10.0,0.0,0.0,17,16,14,3.7680000000000007,2.4380000000000024,2.0180000000000007,11,17,2,101.461686904,5.366598642,7,6.8142660259999985,0.0,0.0,196.0
HAD,Red Bull Racing,11.0,0.0,0.0,81.087,80.941,80.137,36.938357142,23.917321428,42.749958333,99.028217391,79.303,3.0,20.0,0.0,0.0,3,8,5,0.8200000000000074,1.2120000000000033,1.0840000000000032,9,19,8,103.605636903,7.510548641,6,6.792175724999993,0.0,0.0,15.0
HAM,Ferrari,11.0,0.0,0.0,80.736,80.05,79.669,36.481677419,21.75396875,43.648655172,99.92,79.478,7.0,4.0,0.0,0.0,2,4,2,0.4690000000000083,0.32099999999999795,0.6159999999999997,6,14,13,101.884301341,5.7892130789999925,10,7.683958333999996,0.0,0.0,14.0
HUL,Audi,11.0,0.0,0.0,81.969,81.351,81.067,34.139484848,20.528764705,41.426838709,93.962482758,80.303,11.0,22.0,0.0,0.0,9,12,13,1.7019999999999982,1.6219999999999999,2.013999999999996,2,6,1,96.095088262,0.0,2,1.7264410919999875,0.0,0.0,143.0
